학구ID,학구명,학구분류,시도코드,시도교육청코드,시도교육청명
Z000390028,시흥학군,1,41,7530000,경기도교육청
Z000390024,이천학군,1,41,7530000,경기도교육청
Z000390023,양평학군,1,41,7530000,경기도교육청
Z000390022,가평학군,1,41,7530000,경기도교육청
Z000390031,충청남도단일학교군,1,44,8140000,충청남도교육청
Z000390021,포천학군,1,41,7530000,경기도교육청
Z000390008,양주학군,1,41,7530000,경기도교육청
Z000390007,동두천학군,1,41,7530000,경기도교육청
Z000390012,구리학군,1,41,7530000,경기도교육청
Z000390032,전라북도단일학교군,1,45,8320000,전라북도교육청
Z000390013,남양주학군,1,41,7530000,경기도교육청
Z000390014,여주학군,1,41,7530000,경기도교육청
Z000390019,하남학군,1,41,7530000,경기도교육청
Z000390018,광주학군,1,41,7530000,경기도교육청
Z000390026,안성학군,1,41,7530000,경기도교육청
Z000390011,평택학군,1,41,7530000,경기도교육청
Z000390016,화성학군,1,41,7530000,경기도교육청
Z000390015,오산학군,1,41,7530000,경기도교육청
Z000390035,경상남도단일학교군,1,48,9010000,경상남도교육청
Z000390034,경상북도단일학교군,1,47,8750000,경상북도교육청
Z000390033,전라남도단일학교군,1,46,8490000,전라남도교육청
Z000390036,제주특별자치도단일학교군,1,50,9290000,제주특별자치도교육청
Z000390027,김포학군,1,41,7530000,경기도교육청
Z000390029,강원도단일학교군,1,42,7800000,강원도교육청
Z000390020,연천학군,1,41,7530000,경기도교육청
Z000390017,파주학군,1,41,7530000,경기도교육청
Z000390030,충청북도단일학교군,1,43,8000000,충청북도교육청
